Mike	22:25 3/6/2004	130
Jim	22:25 3/6/2004	113
Tom	22:25 3/6/2004	105
Lana	22:25 3/6/2004	130
TomH	22:25 3/6/2004	125
Mike	22:26 3/6/2004	153
TomH	22:26 3/6/2004	174
Lana	13:22 1/1/2022	125
Jim	13:22 1/1/2022	114
TomH	13:22 1/1/2022	151
Jim	7:44 1/2/2022	117
Lana	7:44 1/2/2022	151
Tom	7:52 1/2/2022	179
Lana	7:52 1/2/2022	154
Jim	9:4 1/2/2022	109
TomH	9:4 1/2/2022	116
ricky	9:4 1/2/2022	137
Tom	9:9 1/2/2022	158
Lana	11:41 1/3/2022	157
TomH	11:41 1/3/2022	133
Tom	11:51 1/3/2022	162
Jim	12:0 1/3/2022	190
Lana	12:0 1/3/2022	100
Tom	12:22 1/3/2022	133
TomH	12:22 1/3/2022	161
ricky	12:24 1/3/2022	127
Lana	12:24 1/3/2022	125
ricky	12:35 1/3/2022	101
TomH	12:41 1/3/2022	88
TomH	13:6 1/3/2022	154
ricky	13:6 1/3/2022	109
Lana	13:6 1/3/2022	172
Tom	17:54 1/3/2022	144
ricky	18:2 1/3/2022	133
TomH	18:2 1/3/2022	121
Mike	18:2 1/3/2022	94
Jim	18:2 1/3/2022	117
Tom	18:2 1/3/2022	133
Lana	18:3 1/3/2022	134
ricky	18:9 1/3/2022	134
nyesha	18:10 1/3/2022	135
ricky	18:10 1/3/2022	127
Tom	18:56 1/3/2022	129
TomH	18:56 1/3/2022	116
Lana	18:58 1/3/2022	145
ricky	18:58 1/3/2022	83
Mike	19:1 1/3/2022	152
Jim	19:2 1/3/2022	111
Lana	19:3 1/3/2022	101
nyesha	19:4 1/3/2022	155
Tom	19:7 1/3/2022	159
Tom	19:25 1/3/2022	107
Lana	19:29 1/3/2022	138
Tom	19:29 1/3/2022	163
ricky	19:29 1/3/2022	173
Tom	20:7 1/3/2022	119
Lana	20:10 1/3/2022	143
Lana	7:30 1/4/2022	99
Jim	7:31 1/4/2022	117
nyesha	7:31 1/4/2022	171
aa	7:31 1/4/2022	143
Tom	7:32 1/4/2022	98
nyesha	7:43 1/4/2022	120
Mike	7:43 1/4/2022	148
Jim	7:43 1/4/2022	102
TomH	7:43 1/4/2022	121
Tom	7:52 1/4/2022	134
ricky	8:5 1/4/2022	117
Tom	8:11 1/4/2022	137
Tom	8:16 1/4/2022	164
bb	8:17 1/4/2022	169
TomH	8:20 1/4/2022	123
TomH	8:29 1/4/2022	118
Mike	8:30 1/4/2022	116
Jim	8:30 1/4/2022	142
Tom	8:30 1/4/2022	129
Tom	8:38 1/4/2022	117
Lana	8:48 1/4/2022	137
TomH	9:29 1/4/2022	156
ricky	9:29 1/4/2022	174
Jim	9:29 1/4/2022	112
Tom	9:29 1/4/2022	92
nyesha	9:29 1/4/2022	150
Jim	9:29 1/4/2022	114
Tom	10:33 1/4/2022	118
